doi,title,pdf_path,franz_confirmed,where_franz,study_type,barrier_category,barrier_name_raw,api_conc_5pct_confirmed,api_conc_raw_snippet,endpoint_qfinal_found,endpoint_time_found,where_endpoint,endpoint_likely_in_supp,formulation_table_missing,ready_for_extraction,notes
10.1371/journal.pone.0130253,Synthesis Mechanism and Thermal Optimization of an Economical Mesoporous Material Using Silica: Implications for the Effective Removal or Delivery of Ibuprofen.,GenAI\papers\pdf\10.1371_journal.pone.0130253__a83f2a886f.pdf,no,,uncertain,uncertain,,no,,no,no,,uncertain,uncertain,no,The paper discusses IBP removal and delivery but does not specify Franz diffusion cells or standard IVPT/IVRT; no specific 5% concentration or definitive endpoint findings are mentioned.
10.1371/journal.pone.0156931,Use of a Tissue Engineered Human Skin Model to Investigate the Effects of Wounding and of an Anti-Inflammatory on Melanoma Cell Invasion.,GenAI\papers\pdf\10.1371_journal.pone.0156931__84dcffdf1d.pdf,no,,uncertain,skin,human skin,uncertain,,uncertain,uncertain,,uncertain,uncertain,yes,
10.14440/jbm.2020.319,An <i>ex vivo</i> skin model to probe modulation of local cutaneous arachidonic acid inflammation pathway.,GenAI\papers\pdf\10.14440_jbm.2020.319__1be6b1975c.pdf,yes,page 1,IVPT,skin,porcine skin,uncertain,,uncertain,uncertain,,uncertain,uncertain,no,Endpoint Q_final and time not specified.
10.18433/j3160b,A new vesicle-loaded hydrogel system suitable for topical applications: preparation and characterization.,GenAI\papers\pdf\10.18433_j3160b__e18921d9f7.pdf,uncertain,,IVPT,skin,human skin,no,,yes,yes,Figure 3,uncertain,uncertain,yes,
10.2147/ijn.s267614,A New Type of MgFe<sub>2</sub>O<sub>4</sub>@CuS-APTES Nanocarrier for Magnetic Targeting and Light-Microwave Dual Controlled Drug Release.,GenAI\papers\pdf\10.2147_ijn.s267614__f112c3096a.pdf,no,,uncertain,uncertain,,no,,no,no,,uncertain,uncertain,no,"The text does not explicitly reference Franz diffusion cells, IVPT/IVRT study types, specific barrier categories, or concentrations at 5% w/w for ibuprofen. No numeric endpoints were located."
10.2147/ijn.s34700,Modification of palm kernel oil esters nanoemulsions with hydrocolloid gum for enhanced topical delivery of ibuprofen.,GenAI\papers\pdf\10.2147_ijn.s34700__130ce08dfa.pdf,yes,Methods,IVPT,skin,rat skin,no,,yes,yes,Results,uncertain,no,yes,"Only figures for permeation data provided, need to confirm if numeric tables available."
10.2147/ijn.s504924,An Injectable Ibuprofen Sustained-Release Composite Hydrogel System Effectively Accelerates Diabetic Wound Healing via Anti-Inflammatory Effects and Angiogenesis.,GenAI\papers\pdf\10.2147_ijn.s504924__606e9f23a6.pdf,no,,uncertain,uncertain,,uncertain,,no,uncertain,,uncertain,uncertain,no,"No specific mention of Franz diffusion cell, IVPT/IVRT study type, or 5% w/w ibuprofen concentration found."
10.22037/ijpr.2019.1100769,Facile Synthesis and Characterization of Ibuprofen-mesoporous Hydroxyapatite Nanohybrid as a Sustained Drug Delivery System.,GenAI\papers\pdf\10.22037_ijpr.2019.1100769__801c3bb021.pdf,no,,uncertain,uncertain,,uncertain,,uncertain,uncertain,,uncertain,uncertain,no,No numeric endpoint information provided. Study type and barrier category unclear.
10.22037/ijpr.2020.112887.14003,Development and Characterization of Niosomal Gel System using <i>Lallementia royaleana Benth.</i> mucilage for the treatment of Rheumatoid Arthritis.,GenAI\papers\pdf\10.22037_ijpr.2020.112887.14003__d40fecc1d7.pdf,no,,IVPT,skin,excised rat skin,uncertain,,yes,yes,Table 1,uncertain,no,yes,
10.3389/fbioe.2020.00708,Thermosensitive Micellar Hydrogels as Vehicles to Deliver Drugs With Different Wettability.,GenAI\papers\pdf\10.3389_fbioe.2020.00708__d9ee953557.pdf,uncertain,,uncertain,uncertain,,no,,no,no,,uncertain,uncertain,no,"No specific mention of Franz diffusion cell, IVPT/IVRT study types, barrier details, or endpoints. Ibuprofen concentration data not directly found."
10.3389/fchem.2024.1369542,"Investigation of the synthesis, gelation potential, and drug-loading capacities of two novel amides.",GenAI\papers\pdf\10.3389_fchem.2024.1369542__fb74094c52.pdf,no,,uncertain,uncertain,,uncertain,,uncertain,uncertain,,uncertain,uncertain,no,"No explicit mention of Franz diffusion cell, endpoint data, or specific study type found."
10.3389/fphar.2024.1355283,Hyaluronic acid-ibuprofen conjugation: a novel ototherapeutic approach protecting inner ear cells from inflammation-mediated damage.,GenAI\papers\pdf\10.3389_fphar.2024.1355283__d3e3b20e27.pdf,uncertain,,uncertain,uncertain,,uncertain,,uncertain,uncertain,,uncertain,uncertain,no,
10.3390/antibiotics10070805,In Vitro Microbiological and Drug Release of Silver/Ibuprofen Loaded Wound Dressing Designed for the Treatment of Chronically Infected Painful Wounds.,GenAI\papers\pdf\10.3390_antibiotics10070805__b6bca2ab5d.pdf,yes,Introduction,IVRT,synthetic_membrane,PET,uncertain,,yes,yes,Section 2.4,uncertain,no,yes,
10.3390/gels10100631,BioMOF@cellulose Glycerogel Scaffold with Multifold Bioactivity: Perspective in Bone Tissue Repair.,GenAI\papers\pdf\10.3390_gels10100631__1adedbb41b.pdf,no,,uncertain,uncertain,,uncertain,,no,no,,uncertain,uncertain,no,No clear mention of Franz diffusion cell or endpoints in this excerpt.
10.3390/gels10110704,Decellularized Macroalgae as Complex Hydrophilic Structures for Skin Tissue Engineering and Drug Delivery.,GenAI\papers\pdf\10.3390_gels10110704__b52d02c892.pdf,no,,uncertain,uncertain,,no,,uncertain,uncertain,,uncertain,uncertain,no,"No explicit mention of Franz diffusion cell, specific study type, or 5% ibuprofen concentration found. Endpoint information is unclear from the provided text."
10.3390/gels11010041,Permeation Enhancer in Microemulsions and Microemulsion-Based Gels: A Comparison of Diethylene Glycol Monoethyl Ether and Oleyl Alcohol.,GenAI\papers\pdf\10.3390_gels11010041__cb148324e0.pdf,yes,Results and Discussion 2.4.1,IVPT,both,"regenerated cellulose membrane, Strat-M® membrane",uncertain,,yes,yes,Table 2,no,no,yes,"Detailed numeric values provided in Table 2 for flux, permeability coefficient, and lag time; no specific 5% ibuprofen concentration found."
10.3390/gels11100775,"Hybrid Alginate-Based Polysaccharide Aerogels Microparticles for Drug Delivery: Preparation, Characterization, and Performance Evaluation.",GenAI\papers\pdf\10.3390_gels11100775__4fb67cd5a5.pdf,no,,uncertain,uncertain,,uncertain,,uncertain,yes,,uncertain,uncertain,no,
10.3390/gels8070406,In Vitro Evaluation of Smart and pH-Sensitive Chondroitin Sulfate/Sodium Polystyrene Sulfonate Hydrogels for Controlled Drug Delivery.,GenAI\papers\pdf\10.3390_gels8070406__c9e0d5d069.pdf,uncertain,,IVRT,synthetic_membrane,,uncertain,,yes,yes,"Results and Discussion, Section 2.5",uncertain,no,no,Endpoint data available but not in a clear numeric table format; requires extraction from figures.
10.3390/gels9090699,Self-Healing Oxalamide Organogelators of Vegetable Oil.,GenAI\papers\pdf\10.3390_gels9090699__dbc4ef75b3.pdf,no,,uncertain,uncertain,,uncertain,,no,no,,yes,no,no,Only discusses gelation properties and does not provide specific numeric endpoints or concentrations.
10.3390/ijms150814014,Silver nanoparticles/ibuprofen-loaded poly(L-lactide) fibrous membrane: anti-infection and anti-adhesion effects.,GenAI\papers\pdf\10.3390_ijms150814014__56d56e5666.pdf,uncertain,,uncertain,uncertain,,uncertain,,uncertain,uncertain,,uncertain,uncertain,no,
10.3390/ijms242115632,Enhancing Transdermal Delivery: Investigating the Impact of Permeation Promoters on Ibuprofen Release and Penetration from Medical Patches-In Vitro Research.,GenAI\papers\pdf\10.3390_ijms242115632__cc885c7871.pdf,yes,Abstract,IVPT,skin,skin,yes,"eleven patches, each containing a 5% enhancer of permeation, encompassing compounds such as salicylic acid, menthol, urea, glycolic acid, allantoin, oleic acid, Tween 80, linolenic acid, camphor, N-dodecylcaprolactam, and glycerin, were developed.",yes,yes,"Section 2.1, Table 1",uncertain,no,yes,None.
10.3390/ma10010074,Supercritical CO₂-Assisted Spray Drying of Strawberry-Like Gold-Coated Magnetite Nanocomposites in Chitosan Powders for Inhalation.,GenAI\papers\pdf\10.3390_ma10010074__5bcebc0cec.pdf,no,,uncertain,uncertain,,uncertain,,no,no,,uncertain,uncertain,no,"Focus is on nanoparticle drug delivery systems, no explicit mention of Franz cell methodology or concentration details. No quantitative endpoint data provided."
10.3390/membranes12080762,In Situ Generation of Fouling Resistant Ag/Pd Modified PES Membranes for Treatment of Pharmaceutical Wastewater.,GenAI\papers\pdf\10.3390_membranes12080762__fa6875b6e1.pdf,no,,uncertain,uncertain,,no,,no,no,,uncertain,yes,no,Not all relevant data appears to be reported clearly; ibuprofen concentration and endpoint data are ambiguous or missing.
10.3390/mi11060554,Novel Design Approaches in the Fabrication of Polymeric Microarray Patches via Micromoulding.,GenAI\papers\pdf\10.3390_mi11060554__69230bf446.pdf,yes,Methods,IVPT,skin,neonatal porcine skin,uncertain,IBU (40% w/w),yes,yes,Results,uncertain,no,yes,"IVPT study mentioned, details on cumulative permeation provided."
10.3390/molecules28176198,HPLC Analysis and In Vitro and In Silico Evaluation of the Biological Activity of Polyphenolic Components Separated with Solvents of Various Polarities from <i>Helichrysum italicum</i>.,GenAI\papers\pdf\10.3390_molecules28176198__55bbd00199.pdf,no,,uncertain,uncertain,,uncertain,,uncertain,uncertain,,uncertain,uncertain,yes,No specific mentions of Franz diffusion cell or 5% ibuprofen concentration found.
10.3390/molecules30030552,The Role of the Functionalization of Biomedical Fabrics on Their Ability to Adsorb and Release Drugs.,GenAI\papers\pdf\10.3390_molecules30030552__7256dc139b.pdf,no,,uncertain,skin,cotton gauzes,no,initial concentration of IB solution was 5 mM,yes,yes,section 4,yes,uncertain,yes,"Only qualitative data present regarding adsorption and release, no numeric details provided in sample."
10.3390/nano10112165,Embedding Ordered Mesoporous Carbons into Thermosensitive Hydrogels: A Cutting-Edge Strategy to Vehiculate a Cargo and Control Its Release Profile.,GenAI\papers\pdf\10.3390_nano10112165__6748e42f34.pdf,uncertain,,uncertain,uncertain,,no,,uncertain,uncertain,,uncertain,uncertain,no,
10.3390/nano11071850,pH-Responsive Chitosan/Alginate Polyelectrolyte Complexes on Electrospun PLGA Nanofibers for Controlled Drug Release.,GenAI\papers\pdf\10.3390_nano11071850__a1c10dc1dc.pdf,no,,uncertain,uncertain,,no,,uncertain,no,,no,uncertain,no,No explicit mention of Franz diffusion cell or clearly defined endpoints related to cumulative permeation.
10.3390/pharmaceutics11100501,Injectable Thermosensitive Formulation Based on Polyurethane Hydrogel/Mesoporous Glasses for Sustained Co-Delivery of Functional Ions and Drugs.,GenAI\papers\pdf\10.3390_pharmaceutics11100501__a28c933710.pdf,no,,uncertain,uncertain,,no,,no,no,,uncertain,no,no,
10.3390/pharmaceutics12020105,Development of a Biodegradable Subcutaneous Implant for Prolonged Drug Delivery Using 3D Printing.,GenAI\papers\pdf\10.3390_pharmaceutics12020105__15075ef150.pdf,no,,uncertain,uncertain,,uncertain,,uncertain,uncertain,,uncertain,uncertain,no,No specific mention of Franz diffusion cell or endpoints related to cumulative permeation.
10.3390/pharmaceutics12020151,Evaluation of Formulation Parameters on Permeation of Ibuprofen from Topical Formulations Using Strat-M<sup>®</sup> Membrane.,GenAI\papers\pdf\10.3390_pharmaceutics12020151__701029bf55.pdf,yes,section 1,IVPT,synthetic_membrane,Strat-M,yes,5% w/w; F3: 320.8 ± 17.53 µg/cm2,yes,yes,section 3.2.2,no,no,yes,
10.3390/pharmaceutics12121141,Design of Non-Haemolytic Nanoemulsions for Intravenous Administration of Hydrophobic APIs.,GenAI\papers\pdf\10.3390_pharmaceutics12121141__5990fd1cdd.pdf,no,,uncertain,uncertain,,no,,yes,yes,Table 1,uncertain,no,yes,No explicit mention of Franz diffusion cell. Endpoints found in Table 1.
10.3390/pharmaceutics13111952,Polyelectrolyte-Coated Mesoporous Bioactive Glasses via Layer-by-Layer Deposition for Sustained Co-Delivery of Therapeutic Ions and Drugs.,GenAI\papers\pdf\10.3390_pharmaceutics13111952__45146cae8a.pdf,no,,uncertain,uncertain,,no,,uncertain,uncertain,,uncertain,uncertain,no,
10.3390/pharmaceutics16081055,Mixed Micellar Gel of Poloxamer Mixture for Improved Solubilization of Poorly Water-Soluble Ibuprofen and Use as Thermosensitive In Situ Gel.,GenAI\papers\pdf\10.3390_pharmaceutics16081055__065e618dc2.pdf,no,,IVPT,uncertain,,uncertain,,uncertain,no,,uncertain,uncertain,no,
10.3390/pharmaceutics16111359,Customizable Self-Microemulsifying Rectal Suppositories by Semisolid Extrusion 3D Printing.,GenAI\papers\pdf\10.3390_pharmaceutics16111359__cad97c6f14.pdf,no,,uncertain,uncertain,,no,,uncertain,uncertain,,uncertain,no,no,No specific IVPT/IVRT study methods or results were mentioned in the text.
10.3390/pharmaceutics2020209,A Comparative Study of Transmembrane Diffusion and Permeation of Ibuprofen across Synthetic Membranes Using Franz Diffusion Cells.,GenAI\papers\pdf\10.3390_pharmaceutics2020209__1a2e9fadde.pdf,yes,Introduction,IVPT,synthetic_membrane,various synthetic membranes including cellulose and polysulfone,no,,yes,yes,Table 3,uncertain,no,yes,
10.3390/polym12071473,Design and Preparation of New Multifunctional Hydrogels Based on Chitosan/Acrylic Polymers for Drug Delivery and Wound Dressing Applications.,GenAI\papers\pdf\10.3390_polym12071473__3f2449ea80.pdf,no,,uncertain,uncertain,,uncertain,,yes,yes,section 2.2.3,uncertain,yes,no,No specific mention of Franz diffusion cell or study type; details on endpoint in drug release study found; challenges in extracting formulations.
10.3390/polym15040791,"Chitin-Glucan Complex Hydrogels: Physical-Chemical Characterization, Stability, In Vitro Drug Permeation, and Biological Assessment in Primary Cells.",GenAI\papers\pdf\10.3390_polym15040791__a37a825452.pdf,yes,"Page 2, section 2.9.",IVPT,synthetic_membrane,Strat-M,no,,yes,yes,"Page 5, Section 2.8",uncertain,no,yes,
10.3390/polym16131934,Electrospun Ibuprofen-Loaded Blend PCL/PEO Fibers for Topical Drug Delivery Applications.,GenAI\papers\pdf\10.3390_polym16131934__addfe4ce83.pdf,no,,IVRT,uncertain,,uncertain,,uncertain,uncertain,,uncertain,uncertain,no,
10.3390/polym16142006,Cellulose Acetate and Polycaprolactone Fibre Coatings on Medical-Grade Metal Substrates for Controlled Drug Release.,GenAI\papers\pdf\10.3390_polym16142006__02ac8ba9aa.pdf,no,,IVRT,both,medical-grade stainless steel,no,,uncertain,uncertain,,yes,no,yes,"Ibuprofen was used to confirm drug retention and release, but specific concentration of 5% w/w was not stated. Endpoint data location is uncertain, but there are indications that related calculations/models might be in Supplementary Information."
10.3797/scipharm.1204-14,"Synthesis, characterization, and in vitro evaluation of new Ibuprofen polymeric prodrugs based on 2-hydroxypropyl methacrylate.",GenAI\papers\pdf\10.3797_scipharm.1204-14__6d2c010d2d.pdf,uncertain,,uncertain,uncertain,,uncertain,,no,no,,uncertain,uncertain,no,No explicit mention of Franz diffusion cells or specific endpoint details. Concentration details are unresolved.
