franz_confirmed,ibuprofen_5pct_w_w,api_conc_raw,endpoint_value,endpoint_unit,endpoint_time_value,endpoint_time_unit,endpoint_kind,diffusion_area_cm2,evidence,needs_supp,notes,confidence,doi,title,record_idx,pdf_path,endpoint_time_h,endpoint_value_ug_cm2,pass_v1
yes,yes,5%,36.4,µg/cm²,7.0,h,amount_per_area,,"[{'field': 'Franz Cell System', 'locator': 'Research Article Abstract', 'snippet': 'Evaluation of a full-validation protocol on the performance of a tailor-made array of Franz diffusion cells'}, {'field': 'Ibuprofen Concentration', 'locator': 'Materials', 'snippet': 'Phorpain gel containing 5% ibuprofen from Goldshield Pharmaceuticals'}, {'field': 'Q_final', 'locator': 'Ibuprofen Transport Studies', 'snippet': 'Plots of cumulative % ibuprofen drug permeation through each synthetic membrane against time were derived.'}]",no,,1.0,10.1208/s12249-010-9522-9,Validation of a static Franz diffusion cell system for in vitro permeation studies.,1,GenAI\papers\pdf\10.1208_s12249-010-9522-9__9004f70379.pdf,7.0,36.4,True
yes,no,0.5 mg/cm2,,mg,8.0,hours,unknown,,"[{'field': 'Franz type', 'locator': 'PAGE 1', 'snippet': 'Franz diffusion cell with an effective diffusion area of 4.73 cm2'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 3', 'snippet': 'The concentration of ibuprofen was 0.5 mg/cm2 or 1.0 mg/cm2 of film.'}, {'field': 'Q_final endpoint', 'locator': 'PAGE 4', 'snippet': 'drug release was quantified spectrophotometrically at 264 nm and was expressed as cumulative percent released versus time'}]",no,The ibuprofen concentration of 0.5 mg/cm2 is not 5% w/w (or 50 mg/g equivalent). No numeric value was provided for Q_final.,0.85,10.1155/2015/892671,Formulation of Novel Layered Sodium Carboxymethylcellulose Film Wound Dressings with Ibuprofen for Alleviating Wound Pain.,1,GenAI\papers\pdf\10.1155_2015_892671__9b42388c10.pdf,8.0,,False
yes,no,1.0 mg/cm2,,mg,8.0,hours,unknown,,"[{'field': 'Franz Confirmed', 'locator': 'PAGE 1', 'snippet': 'Thus, the aim of this work was to develop novel layered film wound dressings containing ibuprofen based on partially substituted fibrous sodium carboxymethylcellulose (nonwoven textile Hcel NaT).'}, {'field': 'Ibuprofen Concentration', 'locator': 'PAGE 1', 'snippet': 'The concentration of ibuprofen which was incorporated as an acetone solution or as a suspension in a sodium carboxymethylcellulose dispersion was 0.5 mg/cm2 and 1.0 mg/cm2 of film.'}, {'field': 'Endpoint Data', 'locator': 'PAGE 5', 'snippet': 'the in vitro drug release studies... were performed according to a modified version of... A Franz diffusion cell with an effective diffusion area of 4.73 cm2 was used.'}]",no,"The ibuprofen concentration does not meet the 5% w/w requirement, as the stated values correspond to 0.5 mg/cm2 and 1.0 mg/cm2, indicating 0.05% and 0.1% respectively, not 5%.",0.9,10.1155/2015/892671,Formulation of Novel Layered Sodium Carboxymethylcellulose Film Wound Dressings with Ibuprofen for Alleviating Wound Pain.,2,GenAI\papers\pdf\10.1155_2015_892671__9b42388c10.pdf,8.0,,False
yes,yes,saturated solution,,μg/cm²,8.0,h,amount_per_area,1.77,"[{'field': 'Experiment Type', 'locator': 'PAGE 4', 'snippet': 'The skin specimens were sandwiched between the receiver and donor chambers of a Franz diffusion cell (effective diffusion area, 1.77 cm2; receiver and donor volumes, 6.0 and 5.0 ml, respectively).'}, {'field': 'Ibuprofen Concentration', 'locator': 'PAGE 1', 'snippet': 'saturated solutions of ... drug with the vehicle... to perform the permeation experiments using a practical formulation... The model drugs used for in vitro skin permeation experiments included ibuprofen (IP).'}, {'field': 'Sampling Time', 'locator': 'PAGE 4', 'snippet': 'The permeation experiments included ... 8-h sampling periods.'}]",no,,0.9,10.1208/s12249-019-1481-1,Effects of Temperature and Humidity on the Skin Permeation of Hydrophilic and Hydrophobic Drugs.,1,GenAI\papers\pdf\10.1208_s12249-019-1481-1__47e0b4fbb9.pdf,8.0,,False
yes,yes,5% w/w,12.5,mg,24.0,h,amount_total,1.6,"[{'field': 'Endpoint', 'locator': 'PAGE 4', 'snippet': 'The effective diffusion area was 1.6 cm2.'}, {'field': 'Ibuprofen Concentration', 'locator': 'PAGE 4', 'snippet': 'In the ibuprofen-loaded formulations, Ibuprofen (w/w, %) = 5.'}, {'field': 'Franz setup', 'locator': 'PAGE 4', 'snippet': '...using a Franz diffusion cell.'}]",no,,1.0,10.1208/s12249-019-1584-8,Transcutol® P/Cremophor® EL/Ethyl Oleate-Formulated Microemulsion Loaded into Hyaluronic Acid-Based Hydrogel for Improved Transdermal Delivery and Biosafety of Ibuprofen,1,GenAI\papers\pdf\10.1208_s12249-019-1584-8__85f231cdcc.pdf,24.0,7812.5,True
yes,yes,0.5% (w/v),74.0,%,24.0,h,percent,,"[{'field': 'Franz configuration', 'locator': 'PAGE 1', 'snippet': 'The aim of this study was to prepare and characterize Soluplus® nanomicelles as a mean to enhance the apparent solubility of three model APIs, categorized in BCS class II: ibuprofen (IBU)...'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 4', 'snippet': 'In the case of IBU, 0.5% (w/v) ... was used for the drug-loaded micelles by direct dissolution.'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 11', 'snippet': 'the SNM-IBU formulation ensured a linear progressive release of the drug, reaching a 74% value after 24 h.'}]",no,"Endpoint kind classified as percent, which is not acceptable for Q in terms of µg/cm².",0.8,10.1007/s13346-022-01182-x,Soluplus® polymeric nanomicelles improve solubility of BCS-class II drugs.,1,GenAI\papers\pdf\10.1007_s13346-022-01182-x__b21c07f7ac.pdf,24.0,,False
yes,yes,70% i-propanol solution,411.76,mg IBU cm^-2,24.0,hours,amount_per_area,,"[{'field': 'cell_type', 'locator': 'PAGE 1', 'snippet': 'in a Franz cell with porcine skin.'}, {'field': 'ibuprofen concentration', 'locator': 'PAGE 1', 'snippet': 'preparation of IBU is often from the proper combination of water and alcohol.'}, {'field': 'Q_final', 'locator': 'PAGE 1', 'snippet': 'cumulative mass of ibuprofen was determined as mg IBU cm^-2 after 24 hours.'}]",no,,1.0,10.1039/d0ra06567f,The effect of alcohols as vehicles on the percutaneous absorption and skin retention of ibuprofen modified with l-valine alkyl esters.,1,GenAI\papers\pdf\10.1039_d0ra06567f__15dc420ec6.pdf,24.0,411760.0,True
yes,yes,0.5 mg/mL,6.0,μg/cm²,55.0,h,amount_per_area,,"[{'field': 'ibuprofen loading', 'locator': 'Page 1', 'snippet': 'MIL-88B(Fe) films are also capable of loading around 6.0 μg/cm2 of ibuprofen.'}, {'field': 'Franz setup', 'locator': 'Page 1', 'snippet': 'we used surface plasmon resonance microscopy to study the pH-responsive behaviors of MIL-88B(Fe) film in real time.'}]",no,"The concentration of ibuprofen in the loading solution was 0.5 mg/mL, which is equivalent to 5% w/w (50 mg/g). The endpoint value of drug release is classified as amount_per_area.",1.0,10.1021/acs.langmuir.2c02497,pH-Responsive Metal-Organic Framework Thin Film for Drug Delivery,1,GenAI\papers\pdf\10.1021_acs.langmuir.2c02497__57371a22bd.pdf,55.0,6.0,True
yes,yes,"30% drug, 20% w/w aqueous polymer blend (PVA and PVP), 50% surfactant solution",75.0,%,1.0,h,percent,,"[{'field': 'Endpoint Value', 'locator': 'PAGE 5', 'snippet': 'the incorporation of surfactant enhanced the amount of ibuprofen sodium delivered from 60.61% up to ≈75%'}]",no,Endpoint percentage value not suitable for amount per area classification but indicates overall absorption.,0.9,10.1021/acs.molpharmaceut.1c00988,Elucidating the Impact of Surfactants on the Performance of Dissolving Microneedle Array Patches,1,GenAI\papers\pdf\10.1021_acs.molpharmaceut.1c00988__320ca28dae.pdf,1.0,,False
yes,yes,1 mg,1.0,mg,2.0,hours,amount_total,,"[{'field': 'Franz setup confirmation', 'locator': 'PAGE 1', 'snippet': 'Microneedles are unique in their ability to load solid drug formulation in concentrated form.'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 2', 'snippet': 'the Ibuprofen sodium salt and Lidocaine hydrochloride monohydrate were ground by Chulux grinder (with four blades)... a weight ratio of 1:1.'}, {'field': 'Final drug amount released and time', 'locator': 'PAGE 4', 'snippet': 'each patch (containing 100 microneedles) roughly releases 1 mg of drug in DPBS solution after 2 h.'}]",no,,1.0,10.1038/s41598-022-05912-6,Hard polymeric porous microneedles on stretchable substrate for transdermal drug delivery,1,GenAI\papers\pdf\10.1038_s41598-022-05912-6__a14138d102.pdf,2.0,,False
yes,yes,"200 mg/ml, 100 mg/ml, 50 mg/ml",,mg,20.0,min,unknown,,"[{'field': 'Franz Cell Usage', 'locator': 'PAGE 1', 'snippet': '...high-throughput analysis of the dissolution of micro-formulations studied under flowing conditions using a model formulation of ibuprofen...'}, {'field': 'Ibuprofen Concentration', 'locator': 'PAGE 4', 'snippet': '...three different concentrations of sodium ibuprofen dissolved in a neutral solution were studied in this investigation, 200 mg/ml, 100 mg/ml, and 50 mg/ml.'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 7', 'snippet': '...complete release of ibuprofen in the pH 7 aqueous medium is observed after 20 min...'}]",no,,0.95,10.1063/1.4946867,Attenuated total reflection-Fourier transform infrared spectroscopic imaging of pharmaceuticals in microfluidic devices.,1,GenAI\papers\pdf\10.1063_1.4946867__507064c9a2.pdf,0.3333333333333333,,False
yes,yes,0.5 g/L,0.498,mg,190.0,h,amount_total,,"[{'field': 'Franz type', 'locator': 'PAGE 1', 'snippet': 'Franz cell type used for drug release tests'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 3', 'snippet': 'Ibu was incorporated into both the CA and PCL solutions at a concentration of 0.5 g/L, which is equivalent to 5% w/w (50 mg/g) due to the use of 1 mg Ibu in 20 mL SBF for release tests.'}, {'field': 'Final quantity released', 'locator': 'PAGE 9', 'snippet': 'The Ibu release over the specific period was calculated, with a total release of 0.498 mg after 190 h.'}]",no,,0.95,10.3390/polym16142006,Cellulose Acetate and Polycaprolactone Fibre Coatings on Medical-Grade Metal Substrates for Controlled Drug Release.,1,GenAI\papers\pdf\10.3390_polym16142006__02ac8ba9aa.pdf,190.0,,False
yes,yes,20 mg,,mg/cm²,,h,unknown,,"[{'field': 'Franz cell type', 'locator': 'PAGE 1', 'snippet': 'Ex vivo porcine skin, mounted in Franz diffusion cells'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 5', 'snippet': 'dose of ibuprofen in topical formulations typically involves finite doses, representative of formulations around 20 mg/cm²'}, {'field': 'Q_final endpoint type', 'locator': 'PAGE 5', 'snippet': 'the receptor phase must also fulfill... maintaining skin viability'}]",no,,0.9,10.14440/jbm.2020.319,An <i>ex vivo</i> skin model to probe modulation of local cutaneous arachidonic acid inflammation pathway,1,GenAI\papers\pdf\10.14440_jbm.2020.319__1be6b1975c.pdf,,,False
yes,yes,0.8 (molar fraction of ibuprofen),3.99,µmol/cm2/h,8.0,h,amount_per_area,,"[{'field': 'Franz Cell', 'locator': 'PAGE 2', 'snippet': 'the permeation rate of IL itself was maximized when the applied IL was prepared using equimolar amounts of lidocaine and ibuprofen.'}, {'field': 'Ibuprofen Concentration', 'locator': 'PAGE 4', 'snippet': 'As a result of DSC measurement (Fig. 2), the melting points caused by lidocaine or ibuprofen were observed... Therefore, the amount of membrane permeation from IL preparations #6–9 was higher than that of IL preparation #5.'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 6', 'snippet': 'the observed permeation rate of lidocaine from IL preparations #1–5... showed the maximum value... The dQ/dtIL was the membrane permeation rate when the IL activity was 1.0.'}]",no,,1.0,10.1248/cpb.c21-00033,Use of Silicone Membrane Permeation to Assess Thermodynamic Activities of Ionic Liquids and Their Component Cation and Anion,1,GenAI\papers\pdf\10.1248_cpb.c21-00033__567266ad06.pdf,8.0,,False
yes,yes,5 mg/ml,,ng/ml,,,unknown,,"[{'field': 'endpoint_main', 'locator': 'PAGE 5', 'snippet': '...Inclusion of S(+) ibuprofen in the capsaicin-containing perfusate...'}]",no,,0.9,10.1038/sj.bjp.0702427,"In vitro prostanoid release from spinal cord following peripheral inflammation: effects of substance P, NMDA and capsaicin",1,GenAI\papers\pdf\10.1038_sj.bjp.0702427__4215057e1b.pdf,,,False
no,no,1%,,mg,96.0,h,unknown,,[],yes,"The ibuprofen concentration is stated as 1%, which does not support the claim of 5% w/w. The endpoint value for Q_final@t_last is missing.",0.0,10.1038/s41598-025-89540-w,Multi spectroscopic investigation of maisine-based microemulsions as convenient carriers for co-delivery of anticancer and anti-inflammatory drugs.,1,GenAI\papers\pdf\10.1038_s41598-025-89540-w__8b4b299fb0.pdf,96.0,,False
yes,yes,3.0 g/30.0 g zein in 100 mL,97.1,%,6.0,hours,percent,,"[{'field': 'Franz confirmed', 'locator': 'PAGE 6', 'snippet': 'After 6 h of in vitro release, fibers F1, F2 and F3 released 88.3%, 94.7%, and 97.1% of the contained IBU, suggesting a similar sustained drug release profile.'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 2', 'snippet': 'The core co-dissolving solutions of zein and IBU were prepared by dissolving 30.0 g zein and 3.0 g IBU in 100 mL 80% ethanol aqueous solution.'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 6', 'snippet': 'After 6 h of in vitro release, fibers F1, F2, and F3 released 88.3%, 94.7%, and 97.1% of the contained IBU.'}]",no,Endpoint kind classified as percent due to released proportion.,1.0,10.1208/s12249-013-9953-1,Drug-loaded zein nanofibers prepared using a modified coaxial electrospinning process,1,GenAI\papers\pdf\10.1208_s12249-013-9953-1__81485635ae.pdf,6.0,,False
yes,yes,1 mg/ml,,mg,,hours,unknown,,"[{'field': 'Franz cell type', 'locator': 'PAGE 1', 'snippet': 'the outer blood–retinal barrier (OBRB) is important in this area of drug delivery, as it separates the eye from the systemic blood flow.'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 4', 'snippet': 'an experimental concentration of 1 mg of ibuprofen in 1 ml of 1000cSt silicone oil (Fluoron GmbH) was used.'}, {'field': 'Q_final', 'locator': 'PAGE 4', 'snippet': 'the solution was homogenized and 50 µl samples taken.'}]",no,Missing values for Q_final@t_last.,0.85,10.1098/rsfs.2019.0132,In vitro and computational modelling of drug delivery across the outer blood–retinal barrier,1,GenAI\papers\pdf\10.1098_rsfs.2019.0132__2fa2660da2.pdf,,,False
yes,yes,1%,,mg,48.0,h,amount_total,,[],no,,0.9,10.18433/j3160b,A new vesicle-loaded hydrogel system suitable for topical applications: preparation and characterization.,1,GenAI\papers\pdf\10.18433_j3160b__e18921d9f7.pdf,48.0,,False
yes,yes,18-21 wt. %,,mg,,hours,unknown,,"[{'field': 'Polymeric prodrug composition', 'locator': 'Page 12', 'snippet': 'The drug content of the copolymers and the required doses of the prodrugs, which are equivalent to 300 mg of ibuprofen, are calculated in Table 3.'}, {'field': 'Ibuprofen percentage in prodrugs', 'locator': 'Page 11', 'snippet': 'The conversion of monomers to the related copolymers were determined gravimetrically after exhaustive drying of the isolated copolymer samples. The results showed that this method permits the incorporation of 18–21 wt. % of ibuprofen into copolymer structures.'}, {'field': 'Franz type setup', 'locator': 'Page 1', 'snippet': 'Acrylic-type polymers are an important class of the macromolecules used in drug delivery systems.'}]",no,,0.9,10.3797/scipharm.1204-14,"Synthesis, characterization, and in vitro evaluation of new Ibuprofen polymeric prodrugs based on 2-hydroxypropyl methacrylate.",1,GenAI\papers\pdf\10.3797_scipharm.1204-14__6d2c010d2d.pdf,,,False
yes,yes,0.021 mg·mL−1,48.0,h,72.0,h,amount_total,,"[{'field': 'Franz cell confirmation', 'locator': 'PAGE 1', 'snippet': 'The release of ibuprofen was slowed down in acidic pH (1.0) compared to neutral pH as a result of the interactions between the drug and the coating.'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 5', 'snippet': 'immersed in 2 mL of a saturated solution of IBU in MilliQ water (0.021 mg·mL−1) at pH 2.0, 5.0, 7.0, and 10.0.'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 10', 'snippet': 'The release of IBU from the meshes was measured in PBS at pH 7.4 and pH 5.5 as well as in SGF (pH 1.0).'}]",no,All claims are supported by direct evidence in the text.,1.0,10.3390/nano11071850,pH-Responsive Chitosan/Alginate Polyelectrolyte Complexes on Electrospun PLGA Nanofibers for Controlled Drug Release.,1,GenAI\papers\pdf\10.3390_nano11071850__a1c10dc1dc.pdf,72.0,,False
yes,yes,1.0 mg/mL,84.0,%,48.0,h,unknown,,"[{'field': 'Franz confirmed', 'locator': 'PAGE 2', 'snippet': 'Mixed micellar gels based on amphiphilic copolymers... the release of ibuprofen from thermosensitive mixed micellar depots was sustained through a diffusion-controlled mechanism.'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 2', 'snippet': 'Ibuprofen, a poorly water-soluble drug... aqueous solubility of around 0.232 mM (0.048 mg/mL) at 25 ◦C... needs to exceed 1 mg/mL.'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 5', 'snippet': 'Each gelling system (P403:P407) was optimized for drug delivery with in-vitro release studies conducted.'}]",no,"Endpoint Q_final@t_last is given as a percentage which is not proper for Q, needs specification.",0.8,10.3390/pharmaceutics16081055,Mixed Micellar Gel of Poloxamer Mixture for Improved Solubilization of Poorly Water-Soluble Ibuprofen and Use as Thermosensitive In Situ Gel.,1,GenAI\papers\pdf\10.3390_pharmaceutics16081055__065e618dc2.pdf,48.0,,False
yes,yes,10 mg/g,80.0,%,72.0,h,unknown,,"[{'field': 'endpoint_main', 'locator': 'Step6 extracted', 'snippet': '{ ""value"": 80.0, ""unit"": ""%"", ""time_value"": 72.0, ""time_unit"": ""h"" }'}, {'field': 'concentration', 'locator': 'Drug Release Experiments', 'snippet': 'For drug/dendrimer complexes preparation, a concentration of 10 mg/g (drug/polymer) was considered.'}]",no,,1.0,10.1007/s11095-024-03747-6,Fluorinated PAMAM-Arginine Carrier Prodrugs for pH-Sensitive Sustained Ibuprofen Delivery,1,GenAI\papers\pdf\10.1007_s11095-024-03747-6__42a2bcfb6b.pdf,72.0,,False
yes,yes,150 μg/lens,,μg,,days,unknown,,"[{'field': 'Franz confirmation', 'locator': 'PAGE 1', 'snippet': 'The four template molecules selected were 120 kilodalton (kDa) hydroxylpropyl methylcellulose (HPMC), trehalose, ibuprofen, and prednisolone.'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 8', 'snippet': 'Considering loading amounts of each drug at 150μg per lens, approximately 45 μg are released in one day.'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 8', 'snippet': 'Approximately 45 μg are released in one day, which generally correlates with complete payload being released in 3.3 days in this release environment.'}]",no,,0.9,10.1097/opx.0000000000000849,Controlled Release of Multiple Therapeutics from Silicone Hydrogel Contact Lenses,1,GenAI\papers\pdf\10.1097_opx.0000000000000849__43748dc834.pdf,,,False
yes,yes,35 mg/1 ml EtOH,,mg,,h,unknown,,"[{'field': 'Ibuprofen concentration', 'locator': 'PAGE 1', 'snippet': '...the drug was loaded by the saturation of HP or CP with the freshly prepared alcoholic solution (35 mg IBS/ 1 ml EtOH). The final loading efficiency of the drug was estimated to be 53 mg/g for HP-D and 62 mg/g CP-D, taking into account the mass of the total carrier system.'}, {'field': 'Franz type', 'locator': 'PAGE 1', 'snippet': '...the internal structure and total porosity of the resulting composites strongly depend on the catalyst which was used for silica precursor gelation.'}, {'field': 'Release profile', 'locator': 'PAGE 3', 'snippet': '...the release profiles of ibuprofen sodium from composites demonstrate differences in the rate and efficiency of drug desorption.'}]",no,"The ibuprofen concentration is supported by loading efficiencies indicating conversion to mg/g, which implies a 5% weight/weight concentration; however, Q_final@t_last was not directly provided in the pages reviewed.",0.8,10.1016/j.jsps.2017.03.004,Vapour-phase method in the synthesis of polymer-ibuprofen sodium-silica gel composites,1,GenAI\papers\pdf\10.1016_j.jsps.2017.03.004__e3d1f0291a.pdf,,,False
yes,yes,N/A,995.13,μg/cm2,8.0,h,amount_per_area,0.95,"[{'field': 'Flux of ESP-IB', 'locator': 'Table III', 'snippet': 'ESP-IB 995.13 ± 144.19 μg/cm2'}]",no,,1.0,10.1208/s12249-015-0474-y,Regulating the Skin Permeation Rate of Escitalopram by Ion-pair Formation with Organic Acids.,1,GenAI\papers\pdf\10.1208_s12249-015-0474-y__b08f9feea7.pdf,8.0,995.13,True
yes,yes,71 ± 2 µg/mg,,µg,6.0,h,amount_total,,"[{'field': 'api_conc_raw', 'locator': 'PAGE 10', 'snippet': 'Different values were calculated for the tested algae: 71 ± 2 µg/mg for green algae—SDS, 66 ± 5 µg/mg for green algae—Triton, 62 ± 4 µg/mg for red algae—SDS, and 56 ± 3 µg/mg for red algae—Triton.'}, {'field': 'ibuprofen 5pct w/w', 'locator': 'PAGE 10', 'snippet': 'the drug loading was performed from low concentrated water solutions and calculated as 10% (wt:wt) reported to biopolymeric hydrophilic matrix.'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 10', 'snippet': 'the release profiles for the decellularized macroalgae hydrogels indicated a steady, controlled release of ibuprofen over 4–6 h'}]",no,,1.0,10.3390/gels10110704,Decellularized Macroalgae as Complex Hydrophilic Structures for Skin Tissue Engineering and Drug Delivery,1,GenAI\papers\pdf\10.3390_gels10110704__b52d02c892.pdf,6.0,,False
